icd10,icd10_label,valid_fy2025,valid_fy2026,cc_age_split,cc_sex_split,cc,second_cc,third_cc
M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,Y,Y,,,56,,
M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,Y,Y,,,56,,
M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,Y,Y,,,56,,
M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,Y,Y,,,56,,
M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,Y,Y,,,56,,
M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,Y,Y,,,56,,
M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,Y,Y,,,56,,
M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites,Y,Y,,,56,,
M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,Y,Y,,,56,115,
M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,Y,Y,,,56,115,
M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,Y,Y,,,56,115,
M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,Y,Y,,,56,115,
M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,Y,Y,,,56,115,
M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,Y,Y,,,56,115,
M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,Y,Y,,,56,115,
M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,Y,Y,,,56,115,
M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,Y,Y,,,56,115,
M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,Y,Y,,,56,115,
M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,Y,Y,,,56,115,
M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,Y,Y,,,56,115,
M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,Y,Y,,,56,115,
M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,Y,Y,,,56,115,
M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,Y,Y,,,56,115,
M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,Y,Y,,,56,115,
M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,Y,Y,,,56,115,
M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,Y,Y,,,56,115,
M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,Y,Y,,,56,115,
M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,Y,Y,,,56,115,
M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,Y,Y,,,56,115,
M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,Y,Y,,,56,115,
M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,Y,Y,,,56,115,
M0560,Rheumatoid arthritis of unspecified site with involvement of other organs and systems,Y,Y,,,56,,
M05611,Rheumatoid arthritis of right shoulder with involvement of other organs and systems,Y,Y,,,56,,
M05612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems,Y,Y,,,56,,
M05619,Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems,Y,Y,,,56,,
M05621,Rheumatoid arthritis of right elbow with involvement of other organs and systems,Y,Y,,,56,,
M05622,Rheumatoid arthritis of left elbow with involvement of other organs and systems,Y,Y,,,56,,
M05629,Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems,Y,Y,,,56,,
M05631,Rheumatoid arthritis of right wrist with involvement of other organs and systems,Y,Y,,,56,,
M05632,Rheumatoid arthritis of left wrist with involvement of other organs and systems,Y,Y,,,56,,
M05639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,Y,Y,,,56,,
M05641,Rheumatoid arthritis of right hand with involvement of other organs and systems,Y,Y,,,56,,
M05642,Rheumatoid arthritis of left hand with involvement of other organs and systems,Y,Y,,,56,,
M05649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,Y,Y,,,56,,
M05651,Rheumatoid arthritis of right hip with involvement of other organs and systems,Y,Y,,,56,,
M05652,Rheumatoid arthritis of left hip with involvement of other organs and systems,Y,Y,,,56,,
M05659,Rheumatoid arthritis of unspecified hip with involvement of other organs and systems,Y,Y,,,56,,
M05661,Rheumatoid arthritis of right knee with involvement of other organs and systems,Y,Y,,,56,,
M05662,Rheumatoid arthritis of left knee with involvement of other organs and systems,Y,Y,,,56,,
M05669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,Y,Y,,,56,,
M05671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,Y,Y,,,56,,
M05672,Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems,Y,Y,,,56,,
M05679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,Y,Y,,,56,,
M0569,Rheumatoid arthritis of multiple sites with involvement of other organs and systems,Y,Y,,,56,,
M0570,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement,Y,Y,,,56,,
M05711,Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement,Y,Y,,,56,,
M05712,Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement,Y,Y,,,56,,
M05719,Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement,Y,Y,,,56,,
M05721,Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement,Y,Y,,,56,,
M05722,Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement,Y,Y,,,56,,
M05729,Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement,Y,Y,,,56,,
M05731,Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement,Y,Y,,,56,,
M05732,Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement,Y,Y,,,56,,
M05739,Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement,Y,Y,,,56,,
M05741,Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement,Y,Y,,,56,,
M05742,Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement,Y,Y,,,56,,
M05749,Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement,Y,Y,,,56,,
M05751,Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement,Y,Y,,,56,,
M05752,Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement,Y,Y,,,56,,
M05759,Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement,Y,Y,,,56,,
M05761,Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement,Y,Y,,,56,,
M05762,Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement,Y,Y,,,56,,
M05769,Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement,Y,Y,,,56,,
M05771,Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement,Y,Y,,,56,,
M05772,Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement,Y,Y,,,56,,
M05779,Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement,Y,Y,,,56,,
M0579,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,Y,Y,,,56,,
M057A,Rheumatoid arthritis with rheumatoid factor of other specified site without organ or systems involvement,Y,Y,,,56,,
M0580,Other rheumatoid arthritis with rheumatoid factor of unspecified site,Y,Y,,,56,,
M05811,Other rheumatoid arthritis with rheumatoid factor of right shoulder,Y,Y,,,56,,
M05812,Other rheumatoid arthritis with rheumatoid factor of left shoulder,Y,Y,,,56,,
M05819,Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder,Y,Y,,,56,,
M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow,Y,Y,,,56,,
M05822,Other rheumatoid arthritis with rheumatoid factor of left elbow,Y,Y,,,56,,
M05829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,Y,Y,,,56,,
M05831,Other rheumatoid arthritis with rheumatoid factor of right wrist,Y,Y,,,56,,
M05832,Other rheumatoid arthritis with rheumatoid factor of left wrist,Y,Y,,,56,,
M05839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,Y,Y,,,56,,
M05841,Other rheumatoid arthritis with rheumatoid factor of right hand,Y,Y,,,56,,
M05842,Other rheumatoid arthritis with rheumatoid factor of left hand,Y,Y,,,56,,
M05849,Other rheumatoid arthritis with rheumatoid factor of unspecified hand,Y,Y,,,56,,
M05851,Other rheumatoid arthritis with rheumatoid factor of right hip,Y,Y,,,56,,
M05852,Other rheumatoid arthritis with rheumatoid factor of left hip,Y,Y,,,56,,
M05859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip,Y,Y,,,56,,
M05861,Other rheumatoid arthritis with rheumatoid factor of right knee,Y,Y,,,56,,
M05862,Other rheumatoid arthritis with rheumatoid factor of left knee,Y,Y,,,56,,
M05869,Other rheumatoid arthritis with rheumatoid factor of unspecified knee,Y,Y,,,56,,
M05871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot,Y,Y,,,56,,
M05872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot,Y,Y,,,56,,
M05879,Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot,Y,Y,,,56,,
M0589,Other rheumatoid arthritis with rheumatoid factor of multiple sites,Y,Y,,,56,,
M058A,Other rheumatoid arthritis with rheumatoid factor of other specified site,Y,Y,,,56,,
M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",Y,Y,,,56,,
M05A,Abnormal rheumatoid factor and anti-citrullinated protein antibody with rheumatoid arthritis,N,Y,,,56,,
M0600,"Rheumatoid arthritis without rheumatoid factor, unspecified site",Y,Y,,,56,,
M06011,"Rheumatoid arthritis without rheumatoid factor, right shoulder",Y,Y,,,56,,
M06012,"Rheumatoid arthritis without rheumatoid factor, left shoulder",Y,Y,,,56,,
M06019,"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder",Y,Y,,,56,,
M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow",Y,Y,,,56,,
M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow",Y,Y,,,56,,
M06029,"Rheumatoid arthritis without rheumatoid factor, unspecified elbow",Y,Y,,,56,,
M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist",Y,Y,,,56,,
M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist",Y,Y,,,56,,
M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",Y,Y,,,56,,
M06041,"Rheumatoid arthritis without rheumatoid factor, right hand",Y,Y,,,56,,
M06042,"Rheumatoid arthritis without rheumatoid factor, left hand",Y,Y,,,56,,
M06049,"Rheumatoid arthritis without rheumatoid factor, unspecified hand",Y,Y,,,56,,
M06051,"Rheumatoid arthritis without rheumatoid factor, right hip",Y,Y,,,56,,
M06052,"Rheumatoid arthritis without rheumatoid factor, left hip",Y,Y,,,56,,
M06059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip",Y,Y,,,56,,
M06061,"Rheumatoid arthritis without rheumatoid factor, right knee",Y,Y,,,56,,
M06062,"Rheumatoid arthritis without rheumatoid factor, left knee",Y,Y,,,56,,
M06069,"Rheumatoid arthritis without rheumatoid factor, unspecified knee",Y,Y,,,56,,
M06071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",Y,Y,,,56,,
M06072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot",Y,Y,,,56,,
M06079,"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot",Y,Y,,,56,,
M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae",Y,Y,,,56,,
M0609,"Rheumatoid arthritis without rheumatoid factor, multiple sites",Y,Y,,,56,,
M060A,"Rheumatoid arthritis without rheumatoid factor, other specified site",Y,Y,,,56,,
M061,Adult-onset Still's disease,Y,Y,,,56,,
M0620,"Rheumatoid bursitis, unspecified site",Y,Y,,,56,,
M06211,"Rheumatoid bursitis, right shoulder",Y,Y,,,56,,
M06212,"Rheumatoid bursitis, left shoulder",Y,Y,,,56,,
M06219,"Rheumatoid bursitis, unspecified shoulder",Y,Y,,,56,,
M06221,"Rheumatoid bursitis, right elbow",Y,Y,,,56,,
M06222,"Rheumatoid bursitis, left elbow",Y,Y,,,56,,
M06229,"Rheumatoid bursitis, unspecified elbow",Y,Y,,,56,,
M06231,"Rheumatoid bursitis, right wrist",Y,Y,,,56,,
M06232,"Rheumatoid bursitis, left wrist",Y,Y,,,56,,
M06239,"Rheumatoid bursitis, unspecified wrist",Y,Y,,,56,,
M06241,"Rheumatoid bursitis, right hand",Y,Y,,,56,,
M06242,"Rheumatoid bursitis, left hand",Y,Y,,,56,,
M06249,"Rheumatoid bursitis, unspecified hand",Y,Y,,,56,,
M06251,"Rheumatoid bursitis, right hip",Y,Y,,,56,,
M06252,"Rheumatoid bursitis, left hip",Y,Y,,,56,,
M06259,"Rheumatoid bursitis, unspecified hip",Y,Y,,,56,,
M06261,"Rheumatoid bursitis, right knee",Y,Y,,,56,,
M06262,"Rheumatoid bursitis, left knee",Y,Y,,,56,,
M06269,"Rheumatoid bursitis, unspecified knee",Y,Y,,,56,,
M06271,"Rheumatoid bursitis, right ankle and foot",Y,Y,,,56,,
M06272,"Rheumatoid bursitis, left ankle and foot",Y,Y,,,56,,
M06279,"Rheumatoid bursitis, unspecified ankle and foot",Y,Y,,,56,,
M0628,"Rheumatoid bursitis, vertebrae",Y,Y,,,56,,
M0629,"Rheumatoid bursitis, multiple sites",Y,Y,,,56,,
M0630,"Rheumatoid nodule, unspecified site",Y,Y,,,56,,
M06311,"Rheumatoid nodule, right shoulder",Y,Y,,,56,,
M06312,"Rheumatoid nodule, left shoulder",Y,Y,,,56,,
M06319,"Rheumatoid nodule, unspecified shoulder",Y,Y,,,56,,
M06321,"Rheumatoid nodule, right elbow",Y,Y,,,56,,
M06322,"Rheumatoid nodule, left elbow",Y,Y,,,56,,
M06329,"Rheumatoid nodule, unspecified elbow",Y,Y,,,56,,
M06331,"Rheumatoid nodule, right wrist",Y,Y,,,56,,
M06332,"Rheumatoid nodule, left wrist",Y,Y,,,56,,
M06339,"Rheumatoid nodule, unspecified wrist",Y,Y,,,56,,
M06341,"Rheumatoid nodule, right hand",Y,Y,,,56,,
M06342,"Rheumatoid nodule, left hand",Y,Y,,,56,,
M06349,"Rheumatoid nodule, unspecified hand",Y,Y,,,56,,
M06351,"Rheumatoid nodule, right hip",Y,Y,,,56,,
M06352,"Rheumatoid nodule, left hip",Y,Y,,,56,,
M06359,"Rheumatoid nodule, unspecified hip",Y,Y,,,56,,
M06361,"Rheumatoid nodule, right knee",Y,Y,,,56,,
M06362,"Rheumatoid nodule, left knee",Y,Y,,,56,,
M06369,"Rheumatoid nodule, unspecified knee",Y,Y,,,56,,
M06371,"Rheumatoid nodule, right ankle and foot",Y,Y,,,56,,
M06372,"Rheumatoid nodule, left ankle and foot",Y,Y,,,56,,
M06379,"Rheumatoid nodule, unspecified ankle and foot",Y,Y,,,56,,
M0638,"Rheumatoid nodule, vertebrae",Y,Y,,,56,,
M0639,"Rheumatoid nodule, multiple sites",Y,Y,,,56,,
M064,Inflammatory polyarthropathy,Y,Y,,,57,,
M0680,"Other specified rheumatoid arthritis, unspecified site",Y,Y,,,56,,
M06811,"Other specified rheumatoid arthritis, right shoulder",Y,Y,,,56,,
M06812,"Other specified rheumatoid arthritis, left shoulder",Y,Y,,,56,,
M06819,"Other specified rheumatoid arthritis, unspecified shoulder",Y,Y,,,56,,
M06821,"Other specified rheumatoid arthritis, right elbow",Y,Y,,,56,,
M06822,"Other specified rheumatoid arthritis, left elbow",Y,Y,,,56,,
M06829,"Other specified rheumatoid arthritis, unspecified elbow",Y,Y,,,56,,
M06831,"Other specified rheumatoid arthritis, right wrist",Y,Y,,,56,,
M06832,"Other specified rheumatoid arthritis, left wrist",Y,Y,,,56,,
M06839,"Other specified rheumatoid arthritis, unspecified wrist",Y,Y,,,56,,
M06841,"Other specified rheumatoid arthritis, right hand",Y,Y,,,56,,
M06842,"Other specified rheumatoid arthritis, left hand",Y,Y,,,56,,
M06849,"Other specified rheumatoid arthritis, unspecified hand",Y,Y,,,56,,
M06851,"Other specified rheumatoid arthritis, right hip",Y,Y,,,56,,
M06852,"Other specified rheumatoid arthritis, left hip",Y,Y,,,56,,
M06859,"Other specified rheumatoid arthritis, unspecified hip",Y,Y,,,56,,
M06861,"Other specified rheumatoid arthritis, right knee",Y,Y,,,56,,
M06862,"Other specified rheumatoid arthritis, left knee",Y,Y,,,56,,
M06869,"Other specified rheumatoid arthritis, unspecified knee",Y,Y,,,56,,
M06871,"Other specified rheumatoid arthritis, right ankle and foot",Y,Y,,,56,,
M06872,"Other specified rheumatoid arthritis, left ankle and foot",Y,Y,,,56,,
M06879,"Other specified rheumatoid arthritis, unspecified ankle and foot",Y,Y,,,56,,
M0688,"Other specified rheumatoid arthritis, vertebrae",Y,Y,,,56,,
M0689,"Other specified rheumatoid arthritis, multiple sites",Y,Y,,,56,,
M068A,"Other specified rheumatoid arthritis, other specified site",Y,Y,,,56,,
M069,"Rheumatoid arthritis, unspecified",Y,Y,,,56,,
M0800,Unspecified juvenile rheumatoid arthritis of unspecified site,Y,Y,,,56,,
M08011,"Unspecified juvenile rheumatoid arthritis, right shoulder",Y,Y,,,56,,
M08012,"Unspecified juvenile rheumatoid arthritis, left shoulder",Y,Y,,,56,,
M08019,"Unspecified juvenile rheumatoid arthritis, unspecified shoulder",Y,Y,,,56,,
M08021,"Unspecified juvenile rheumatoid arthritis, right elbow",Y,Y,,,56,,
M08022,"Unspecified juvenile rheumatoid arthritis, left elbow",Y,Y,,,56,,
M08029,"Unspecified juvenile rheumatoid arthritis, unspecified elbow",Y,Y,,,56,,
M08031,"Unspecified juvenile rheumatoid arthritis, right wrist",Y,Y,,,56,,
M08032,"Unspecified juvenile rheumatoid arthritis, left wrist",Y,Y,,,56,,
M08039,"Unspecified juvenile rheumatoid arthritis, unspecified wrist",Y,Y,,,56,,
M08041,"Unspecified juvenile rheumatoid arthritis, right hand",Y,Y,,,56,,
M08042,"Unspecified juvenile rheumatoid arthritis, left hand",Y,Y,,,56,,
M08049,"Unspecified juvenile rheumatoid arthritis, unspecified hand",Y,Y,,,56,,
M08051,"Unspecified juvenile rheumatoid arthritis, right hip",Y,Y,,,56,,
M08052,"Unspecified juvenile rheumatoid arthritis, left hip",Y,Y,,,56,,
M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip",Y,Y,,,56,,
M08061,"Unspecified juvenile rheumatoid arthritis, right knee",Y,Y,,,56,,
M08062,"Unspecified juvenile rheumatoid arthritis, left knee",Y,Y,,,56,,
M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee",Y,Y,,,56,,
M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot",Y,Y,,,56,,
M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot",Y,Y,,,56,,
M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot",Y,Y,,,56,,
M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae",Y,Y,,,56,,
M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites",Y,Y,,,56,,
M080A,"Unspecified juvenile rheumatoid arthritis, other specified site",Y,Y,,,56,,
M081,Juvenile ankylosing spondylitis,Y,Y,,,56,,
M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site",Y,Y,,,56,,
M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder",Y,Y,,,56,,
M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder",Y,Y,,,56,,
M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder",Y,Y,,,56,,
M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow",Y,Y,,,56,,
M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow",Y,Y,,,56,,
M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow",Y,Y,,,56,,
M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist",Y,Y,,,56,,
M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist",Y,Y,,,56,,
M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist",Y,Y,,,56,,
M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand",Y,Y,,,56,,
M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand",Y,Y,,,56,,
M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand",Y,Y,,,56,,
M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip",Y,Y,,,56,,
M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip",Y,Y,,,56,,
M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip",Y,Y,,,56,,
M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee",Y,Y,,,56,,
M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee",Y,Y,,,56,,
M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee",Y,Y,,,56,,
M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",Y,Y,,,56,,
M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot",Y,Y,,,56,,
M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot",Y,Y,,,56,,
M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae",Y,Y,,,56,,
M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites",Y,Y,,,56,,
M082A,"Juvenile rheumatoid arthritis with systemic onset, other specified site",Y,Y,,,56,,
M083,Juvenile rheumatoid polyarthritis (seronegative),Y,Y,,,56,,
M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site",Y,Y,,,56,,
M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder",Y,Y,,,56,,
M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder",Y,Y,,,56,,
M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder",Y,Y,,,56,,
M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow",Y,Y,,,56,,
M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow",Y,Y,,,56,,
M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",Y,Y,,,56,,
M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist",Y,Y,,,56,,
M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist",Y,Y,,,56,,
M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist",Y,Y,,,56,,
M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand",Y,Y,,,56,,
M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand",Y,Y,,,56,,
M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand",Y,Y,,,56,,
M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip",Y,Y,,,56,,
M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip",Y,Y,,,56,,
M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip",Y,Y,,,56,,
M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee",Y,Y,,,56,,
M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee",Y,Y,,,56,,
M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee",Y,Y,,,56,,
M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot",Y,Y,,,56,,
M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot",Y,Y,,,56,,
M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot",Y,Y,,,56,,
M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae",Y,Y,,,56,,
M084A,"Pauciarticular juvenile rheumatoid arthritis, other specified site",Y,Y,,,56,,
M0880,"Other juvenile arthritis, unspecified site",Y,Y,,,56,,
M08811,"Other juvenile arthritis, right shoulder",Y,Y,,,56,,
M08812,"Other juvenile arthritis, left shoulder",Y,Y,,,56,,
M08819,"Other juvenile arthritis, unspecified shoulder",Y,Y,,,56,,
M08821,"Other juvenile arthritis, right elbow",Y,Y,,,56,,
M08822,"Other juvenile arthritis, left elbow",Y,Y,,,56,,
M08829,"Other juvenile arthritis, unspecified elbow",Y,Y,,,56,,
M08831,"Other juvenile arthritis, right wrist",Y,Y,,,56,,
M08832,"Other juvenile arthritis, left wrist",Y,Y,,,56,,
M08839,"Other juvenile arthritis, unspecified wrist",Y,Y,,,56,,
M08841,"Other juvenile arthritis, right hand",Y,Y,,,56,,
M08842,"Other juvenile arthritis, left hand",Y,Y,,,56,,
M08849,"Other juvenile arthritis, unspecified hand",Y,Y,,,56,,
M08851,"Other juvenile arthritis, right hip",Y,Y,,,56,,
M08852,"Other juvenile arthritis, left hip",Y,Y,,,56,,
M08859,"Other juvenile arthritis, unspecified hip",Y,Y,,,56,,
M08861,"Other juvenile arthritis, right knee",Y,Y,,,56,,
M08862,"Other juvenile arthritis, left knee",Y,Y,,,56,,
M08869,"Other juvenile arthritis, unspecified knee",Y,Y,,,56,,
M08871,"Other juvenile arthritis, right ankle and foot",Y,Y,,,56,,
M08872,"Other juvenile arthritis, left ankle and foot",Y,Y,,,56,,
M08879,"Other juvenile arthritis, unspecified ankle and foot",Y,Y,,,56,,
M0888,"Other juvenile arthritis, other specified site",Y,Y,,,56,,
M0889,"Other juvenile arthritis, multiple sites",Y,Y,,,56,,
M0890,"Juvenile arthritis, unspecified, unspecified site",Y,Y,,,56,,
M08911,"Juvenile arthritis, unspecified, right shoulder",Y,Y,,,56,,
M08912,"Juvenile arthritis, unspecified, left shoulder",Y,Y,,,56,,
M08919,"Juvenile arthritis, unspecified, unspecified shoulder",Y,Y,,,56,,
M08921,"Juvenile arthritis, unspecified, right elbow",Y,Y,,,56,,
M08922,"Juvenile arthritis, unspecified, left elbow",Y,Y,,,56,,
M08929,"Juvenile arthritis, unspecified, unspecified elbow",Y,Y,,,56,,
M08931,"Juvenile arthritis, unspecified, right wrist",Y,Y,,,56,,
M08932,"Juvenile arthritis, unspecified, left wrist",Y,Y,,,56,,
M08939,"Juvenile arthritis, unspecified, unspecified wrist",Y,Y,,,56,,
M08941,"Juvenile arthritis, unspecified, right hand",Y,Y,,,56,,
M08942,"Juvenile arthritis, unspecified, left hand",Y,Y,,,56,,
M08949,"Juvenile arthritis, unspecified, unspecified hand",Y,Y,,,56,,
M08951,"Juvenile arthritis, unspecified, right hip",Y,Y,,,56,,
M08952,"Juvenile arthritis, unspecified, left hip",Y,Y,,,56,,
M08959,"Juvenile arthritis, unspecified, unspecified hip",Y,Y,,,56,,
M08961,"Juvenile arthritis, unspecified, right knee",Y,Y,,,56,,
M08962,"Juvenile arthritis, unspecified, left knee",Y,Y,,,56,,
M08969,"Juvenile arthritis, unspecified, unspecified knee",Y,Y,,,56,,
M08971,"Juvenile arthritis, unspecified, right ankle and foot",Y,Y,,,56,,
M08972,"Juvenile arthritis, unspecified, left ankle and foot",Y,Y,,,56,,
M08979,"Juvenile arthritis, unspecified, unspecified ankle and foot",Y,Y,,,56,,
M0898,"Juvenile arthritis, unspecified, vertebrae",Y,Y,,,56,,
M0899,"Juvenile arthritis, unspecified, multiple sites",Y,Y,,,56,,
M089A,"Juvenile arthritis, unspecified, other specified site",Y,Y,,,56,,
M1200,"Chronic postrheumatic arthropathy [Jaccoud], unspecified site",Y,Y,,,57,,
