icd10,icd10_label,valid_fy2025,valid_fy2026,cc_age_split,cc_sex_split,cc,second_cc,third_cc
C089,"Malignant neoplasm of major salivary gland, unspecified",Y,Y,,,11,,
C090,Malignant neoplasm of tonsillar fossa,Y,Y,,,11,,
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Y,Y,,,11,,
C098,Malignant neoplasm of overlapping sites of tonsil,Y,Y,,,11,,
C099,"Malignant neoplasm of tonsil, unspecified",Y,Y,,,11,,
C100,Malignant neoplasm of vallecula,Y,Y,,,11,,
C101,Malignant neoplasm of anterior surface of epiglottis,Y,Y,,,11,,
C102,Malignant neoplasm of lateral wall of oropharynx,Y,Y,,,11,,
C103,Malignant neoplasm of posterior wall of oropharynx,Y,Y,,,11,,
C104,Malignant neoplasm of branchial cleft,Y,Y,,,11,,
C108,Malignant neoplasm of overlapping sites of oropharynx,Y,Y,,,11,,
C109,"Malignant neoplasm of oropharynx, unspecified",Y,Y,,,11,,
C110,Malignant neoplasm of superior wall of nasopharynx,Y,Y,,,11,,
C111,Malignant neoplasm of posterior wall of nasopharynx,Y,Y,,,11,,
C112,Malignant neoplasm of lateral wall of nasopharynx,Y,Y,,,11,,
C113,Malignant neoplasm of anterior wall of nasopharynx,Y,Y,,,11,,
C118,Malignant neoplasm of overlapping sites of nasopharynx,Y,Y,,,11,,
C119,"Malignant neoplasm of nasopharynx, unspecified",Y,Y,,,11,,
C12,Malignant neoplasm of pyriform sinus,Y,Y,,,11,,
C130,Malignant neoplasm of postcricoid region,Y,Y,,,11,,
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Y,Y,,,11,,
C132,Malignant neoplasm of posterior wall of hypopharynx,Y,Y,,,11,,
C138,Malignant neoplasm of overlapping sites of hypopharynx,Y,Y,,,11,,
C139,"Malignant neoplasm of hypopharynx, unspecified",Y,Y,,,11,,
C140,"Malignant neoplasm of pharynx, unspecified",Y,Y,,,11,,
C142,Malignant neoplasm of Waldeyer's ring,Y,Y,,,11,,
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Y,Y,,,11,,
C153,Malignant neoplasm of upper third of esophagus,Y,Y,,,9,,
C154,Malignant neoplasm of middle third of esophagus,Y,Y,,,9,,
C155,Malignant neoplasm of lower third of esophagus,Y,Y,,,9,,
C158,Malignant neoplasm of overlapping sites of esophagus,Y,Y,,,9,,
C159,"Malignant neoplasm of esophagus, unspecified",Y,Y,,,9,,
C160,Malignant neoplasm of cardia,Y,Y,,,9,,
C161,Malignant neoplasm of fundus of stomach,Y,Y,,,9,,
C162,Malignant neoplasm of body of stomach,Y,Y,,,9,,
C163,Malignant neoplasm of pyloric antrum,Y,Y,,,9,,
C164,Malignant neoplasm of pylorus,Y,Y,,,9,,
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",Y,Y,,,9,,
C166,"Malignant neoplasm of greater curvature of stomach, unspecified",Y,Y,,,9,,
C168,Malignant neoplasm of overlapping sites of stomach,Y,Y,,,9,,
C169,"Malignant neoplasm of stomach, unspecified",Y,Y,,,9,,
C170,Malignant neoplasm of duodenum,Y,Y,,,9,,
C171,Malignant neoplasm of jejunum,Y,Y,,,9,,
C172,Malignant neoplasm of ileum,Y,Y,,,9,,
C173,"Meckel's diverticulum, malignant",Y,Y,,,9,,
C178,Malignant neoplasm of overlapping sites of small intestine,Y,Y,,,9,,
C179,"Malignant neoplasm of small intestine, unspecified",Y,Y,,,9,,
C180,Malignant neoplasm of cecum,Y,Y,,,11,,
C181,Malignant neoplasm of appendix,Y,Y,,,11,,
C182,Malignant neoplasm of ascending colon,Y,Y,,,11,,
C183,Malignant neoplasm of hepatic flexure,Y,Y,,,11,,
C184,Malignant neoplasm of transverse colon,Y,Y,,,11,,
C185,Malignant neoplasm of splenic flexure,Y,Y,,,11,,
C186,Malignant neoplasm of descending colon,Y,Y,,,11,,
C187,Malignant neoplasm of sigmoid colon,Y,Y,,,11,,
C188,Malignant neoplasm of overlapping sites of colon,Y,Y,,,11,,
C189,"Malignant neoplasm of colon, unspecified",Y,Y,,,11,,
C19,Malignant neoplasm of rectosigmoid junction,Y,Y,,,11,,
C20,Malignant neoplasm of rectum,Y,Y,,,11,,
C210,"Malignant neoplasm of anus, unspecified",Y,Y,,,11,,
C211,Malignant neoplasm of anal canal,Y,Y,,,11,,
C212,Malignant neoplasm of cloacogenic zone,Y,Y,,,11,,
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Y,Y,,,11,,
C220,Liver cell carcinoma,Y,Y,,,9,,
C221,Intrahepatic bile duct carcinoma,Y,Y,,,9,,
C222,Hepatoblastoma,Y,Y,,,9,,
C223,Angiosarcoma of liver,Y,Y,,,9,,
C224,Other sarcomas of liver,Y,Y,,,9,,
C227,Other specified carcinomas of liver,Y,Y,,,9,,
C228,"Malignant neoplasm of liver, primary, unspecified as to type",Y,Y,,,9,,
C229,"Malignant neoplasm of liver, not specified as primary or secondary",Y,Y,,,9,,
C23,Malignant neoplasm of gallbladder,Y,Y,,,9,,
