model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,gold,diagnosis,HCC004,Viral or Unspecified Meningitis,7.574
adult,silver,diagnosis,HCC004,Viral or Unspecified Meningitis,7.524
adult,bronze,diagnosis,HCC004,Viral or Unspecified Meningitis,7.445
adult,catastrophic,diagnosis,HCC004,Viral or Unspecified Meningitis,7.432
adult,platinum,diagnosis,HCC006,Opportunistic Infections,8.503
adult,gold,diagnosis,HCC006,Opportunistic Infections,8.454
adult,silver,diagnosis,HCC006,Opportunistic Infections,8.401
adult,bronze,diagnosis,HCC006,Opportunistic Infections,8.325
adult,catastrophic,diagnosis,HCC006,Opportunistic Infections,8.307
adult,platinum,diagnosis,HCC008,Metastatic Cancer,22.556
adult,gold,diagnosis,HCC008,Metastatic Cancer,22.166
adult,silver,diagnosis,HCC008,Metastatic Cancer,22.140
adult,bronze,diagnosis,HCC008,Metastatic Cancer,22.021
adult,catastrophic,diagnosis,HCC008,Metastatic Cancer,22.026
adult,platinum,diagnosis,HCC009,"Lung, Brain, and Other Severe Cancers, Including Pediatric Acute Lymphoid Leukemia",12.533
adult,gold,diagnosis,HCC009,"Lung, Brain, and Other Severe Cancers, Including Pediatric Acute Lymphoid Leukemia",12.261
adult,silver,diagnosis,HCC009,"Lung, Brain, and Other Severe Cancers, Including Pediatric Acute Lymphoid Leukemia",12.214
adult,bronze,diagnosis,HCC009,"Lung, Brain, and Other Severe Cancers, Including Pediatric Acute Lymphoid Leukemia",12.096
adult,catastrophic,diagnosis,HCC009,"Lung, Brain, and Other Severe Cancers, Including Pediatric Acute Lymphoid Leukemia",12.090
adult,platinum,diagnosis,HCC010,Non-Hodgkin Lymphomas and Other Cancers and Tumors,5.518
adult,gold,diagnosis,HCC010,Non-Hodgkin Lymphomas and Other Cancers and Tumors,5.344
adult,silver,diagnosis,HCC010,Non-Hodgkin Lymphomas and Other Cancers and Tumors,5.279
adult,bronze,diagnosis,HCC010,Non-Hodgkin Lymphomas and Other Cancers and Tumors,5.166
adult,catastrophic,diagnosis,HCC010,Non-Hodgkin Lymphomas and Other Cancers and Tumors,5.153
adult,platinum,diagnosis,HCC011,"Colorectal, Breast (Age < 50), Kidney, and Other Cancers",3.718
adult,gold,diagnosis,HCC011,"Colorectal, Breast (Age < 50), Kidney, and Other Cancers",3.537
adult,silver,diagnosis,HCC011,"Colorectal, Breast (Age < 50), Kidney, and Other Cancers",3.464
adult,bronze,diagnosis,HCC011,"Colorectal, Breast (Age < 50), Kidney, and Other Cancers",3.342
adult,catastrophic,diagnosis,HCC011,"Colorectal, Breast (Age < 50), Kidney, and Other Cancers",3.327
adult,platinum,diagnosis,HCC012,"Breast (Age 50+) and Prostate Cancer, Benign/Uncertain Brain Tumors, and Other Cancers and Tumors",2.398
adult,gold,diagnosis,HCC012,"Breast (Age 50+) and Prostate Cancer, Benign/Uncertain Brain Tumors, and Other Cancers and Tumors",2.267
adult,silver,diagnosis,HCC012,"Breast (Age 50+) and Prostate Cancer, Benign/Uncertain Brain Tumors, and Other Cancers and Tumors",2.201
adult,bronze,diagnosis,HCC012,"Breast (Age 50+) and Prostate Cancer, Benign/Uncertain Brain Tumors, and Other Cancers and Tumors",2.101
adult,catastrophic,diagnosis,HCC012,"Breast (Age 50+) and Prostate Cancer, Benign/Uncertain Brain Tumors, and Other Cancers and Tumors",2.087
adult,platinum,diagnosis,HCC013,"Thyroid Cancer, Melanoma, Neurofibromatosis, and Other Cancers and Tumors",0.970
adult,gold,diagnosis,HCC013,"Thyroid Cancer, Melanoma, Neurofibromatosis, and Other Cancers and Tumors",0.880
adult,silver,diagnosis,HCC013,"Thyroid Cancer, Melanoma, Neurofibromatosis, and Other Cancers and Tumors",0.794
adult,bronze,diagnosis,HCC013,"Thyroid Cancer, Melanoma, Neurofibromatosis, and Other Cancers and Tumors",0.688
adult,catastrophic,diagnosis,HCC013,"Thyroid Cancer, Melanoma, Neurofibromatosis, and Other Cancers and Tumors",0.669
adult,platinum,diagnosis,HCC018,Pancreas Transplant Status,6.005
adult,gold,diagnosis,HCC018,Pancreas Transplant Status,6.004
adult,silver,diagnosis,HCC018,Pancreas Transplant Status,6.016
adult,bronze,diagnosis,HCC018,Pancreas Transplant Status,6.019
adult,catastrophic,diagnosis,HCC018,Pancreas Transplant Status,6.011
adult,platinum,diagnosis,HCC019,Diabetes with Acute Complications,0.225
adult,gold,diagnosis,HCC019,Diabetes with Acute Complications,0.183
adult,silver,diagnosis,HCC019,Diabetes with Acute Complications,0.142
adult,bronze,diagnosis,HCC019,Diabetes with Acute Complications,0.102
adult,catastrophic,diagnosis,HCC019,Diabetes with Acute Complications,0.094
adult,platinum,diagnosis,HCC020,Diabetes with Chronic Complications,0.225
adult,gold,diagnosis,HCC020,Diabetes with Chronic Complications,0.183
adult,silver,diagnosis,HCC020,Diabetes with Chronic Complications,0.142
adult,bronze,diagnosis,HCC020,Diabetes with Chronic Complications,0.102
adult,catastrophic,diagnosis,HCC020,Diabetes with Chronic Complications,0.094
adult,platinum,diagnosis,HCC021,Diabetes without Complication,0.225
adult,gold,diagnosis,HCC021,Diabetes without Complication,0.183
adult,silver,diagnosis,HCC021,Diabetes without Complication,0.142
adult,bronze,diagnosis,HCC021,Diabetes without Complication,0.102
adult,catastrophic,diagnosis,HCC021,Diabetes without Complication,0.094
adult,platinum,diagnosis,HCC022,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21",0.224
adult,gold,diagnosis,HCC022,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21",0.200
adult,silver,diagnosis,HCC022,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21",0.163
adult,bronze,diagnosis,HCC022,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21",0.098
adult,catastrophic,diagnosis,HCC022,"Type 1 Diabetes Mellitus, add-on to Diabetes HCCs 19-21",0.083
adult,platinum,diagnosis,HCC023,Protein-Calorie Malnutrition,10.679
adult,gold,diagnosis,HCC023,Protein-Calorie Malnutrition,10.560
adult,silver,diagnosis,HCC023,Protein-Calorie Malnutrition,10.519
