segment,factor_type,factor_key,coefficient
CFA,hcc,HCC154,0.349
CND,hcc,HCC154,0.166
CPD,hcc,HCC154,0.108
CFD,hcc,HCC154,0.126
INS,hcc,HCC154,0.199
CNA,hcc,HCC155,0.299
CPA,hcc,HCC155,0.269
CFA,hcc,HCC155,0.316
CND,hcc,HCC155,0.166
CPD,hcc,HCC155,0.108
CFD,hcc,HCC155,0.126
INS,hcc,HCC155,0.199
CNA,hcc,HCC180,1.125
CPA,hcc,HCC180,1.311
CFA,hcc,HCC180,1.068
CND,hcc,HCC180,0.986
CPD,hcc,HCC180,1.399
CFD,hcc,HCC180,1.095
INS,hcc,HCC180,0.735
CNA,hcc,HCC181,0.942
CPA,hcc,HCC181,0.883
CFA,hcc,HCC181,0.859
CND,hcc,HCC181,0.648
CPD,hcc,HCC181,0.852
CFD,hcc,HCC181,0.832
INS,hcc,HCC181,0.563
CNA,hcc,HCC182,0.478
CPA,hcc,HCC182,0.401
CFA,hcc,HCC182,0.402
CND,hcc,HCC182,0.368
CPD,hcc,HCC182,0.316
CFD,hcc,HCC182,0.308
INS,hcc,HCC182,0.27
CNA,hcc,HCC190,1.175
CPA,hcc,HCC190,0.64
CFA,hcc,HCC190,1.427
CND,hcc,HCC190,1.792
CPD,hcc,HCC190,1.243
CFD,hcc,HCC190,3.642
INS,hcc,HCC190,0.628
CNA,hcc,HCC191,0.855
CPA,hcc,HCC191,0.84
CFA,hcc,HCC191,0.393
CND,hcc,HCC191,0.743
CPD,hcc,HCC191,0.104
CFD,hcc,HCC191,0.466
INS,hcc,HCC191,0
CNA,hcc,HCC192,0.314
CPA,hcc,HCC192,0.22
CFA,hcc,HCC192,0
CND,hcc,HCC192,0.129
CPD,hcc,HCC192,0.104
CFD,hcc,HCC192,0.067
INS,hcc,HCC192,0
CNA,hcc,HCC193,1.692
CPA,hcc,HCC193,1.149
CFA,hcc,HCC193,0.957
CND,hcc,HCC193,1.427
CPD,hcc,HCC193,0.85
CFD,hcc,HCC193,0.939
INS,hcc,HCC193,0.913
CNA,hcc,HCC195,2.909
CPA,hcc,HCC195,2.69
CFA,hcc,HCC195,2.153
CND,hcc,HCC195,3.633
CPD,hcc,HCC195,1.779
CFD,hcc,HCC195,3.323
INS,hcc,HCC195,1.837
CNA,hcc,HCC196,0.516
CPA,hcc,HCC196,0.427
CFA,hcc,HCC196,0.503
CND,hcc,HCC196,0.642
CPD,hcc,HCC196,0.248
CFD,hcc,HCC196,0.507
INS,hcc,HCC196,0.486
CNA,hcc,HCC197,0.426
CPA,hcc,HCC197,0.162
CFA,hcc,HCC197,0.369
CND,hcc,HCC197,0.632
CPD,hcc,HCC197,0.145
CFD,hcc,HCC197,0.681
INS,hcc,HCC197,0.292
CNA,hcc,HCC198,0.647
CPA,hcc,HCC198,0.569
CFA,hcc,HCC198,0.791
CND,hcc,HCC198,0.908
CPD,hcc,HCC198,0.77
CFD,hcc,HCC198,1.143
